DateTime,Entries,UniqueIPs
1478891634,1585304,1669041
1478905827,1595016,1679577
1478909640,1596679,1681317
1478913147,1598135,1682902
1478920163,1601254,1686237
1478931279,1605547,1690773
1478934557,1606956,1692264
1478941819,1606983,1692296
1478945628,1607053,1692321
1478956440,1610644,1696215
1478960026,1612685,1698423
1478963357,1614698,1700614
1478966985,1616962,1703122
1478977812,1619674,1705898
1478981351,1620229,1706435
1478989032,1622713,1709091
1478999820,1628601,1715529
1479010675,1636430,1724100
1479017990,1640327,1728445
1479020926,1640953,1729121
1479024539,1641843,1730105
1479028128,1642290,1730586
1479039185,1641580,1729807
1479042721,1641278,1729445
1479046330,1640816,1728910
1479049728,1640635,1728731
1479053529,1640069,1728146
1479056925,1639176,1727165
1479060535,1637866,1725672
1479064127,1637817,1725650
1479067833,1638100,1725907
1479071556,1638568,1726447
1479082131,1639546,1727532
1479085713,1639990,1728012
1479096681,1641637,1729814
1479100131,1642607,1730873
1479103964,1643090,1731404
1479107336,1642532,1730801
1479110909,1641644,1729825
1479114485,1640404,1728481
1479118088,1638859,1726781
1479121770,1637298,1725077
1479125270,1635863,1723489
1479128877,1634449,1721950
1479132928,1641654,1729863
1479136149,1642032,1730243
1479139988,1642618,1730900
1479146943,1643572,1731935
1479154381,1644327,1732795
1479157716,1644409,1732881
1479161499,1644186,1732621
1479164948,1645385,1733839
1479168773,1646045,1734551
1479172228,1646608,1735148
1479175714,1647022,1735595
1479179318,1647475,1736089
1479183161,1647539,1736173
1479186764,1647662,1736289
1479190129,1647773,1736423
1479193966,1647882,1736566
1479197348,1647754,1736423
1479212195,1647251,1735779
1479215338,1647825,1736398
1479219178,1649190,1737905
1479222575,1650290,1739153
1479226146,1650740,1739654
1479233564,1650911,1739876
1479247965,1650563,1739582
1479254928,1650723,1739786
1479258515,1651256,1740351
1479262369,1651490,1740610
1479265915,1651602,1740736
1479269489,1651538,1740676
1479280408,1651193,1740267
1479283964,1651165,1740211
1479287548,1651008,1740028
1479298151,1651944,1740974
1479301985,1652842,1742017
1479305343,1653701,1742988
1479316360,1655210,1744732
1479319956,1655158,1744672
1479323551,1655149,1744688
1479327022,1654500,1743963
1479334295,1654285,1743792
1479341411,1654530,1744032
1479344914,1654616,1744128
1479348525,1654734,1744243
1479352116,1654333,1743803
1479355917,1654302,1743774
1479359546,1653894,1743351
1479363114,1653286,1742708
1479366710,1652478,1741843
1479370385,1651538,1740793
1479373725,1651513,1740816
1479377576,1652066,1741473
1479381026,1652611,1742092
1479384749,1653051,1742570
1479395575,1652809,1742304
1479399214,1653300,1742802
1479402737,1654477,1744064
1479406132,1654532,1744105
1479413322,1653876,1743389
1479416931,1654199,1743765
1479420522,1653699,1743255
1479431532,1652896,1742353
1479438980,1652909,1742383
1479442118,1652514,1741960
1479445816,1651542,1740939
1479449411,1650482,1739778
1479452932,1648876,1738038
1479456519,1648929,1738062
1479460341,1649039,1738204
1479467844,1649533,1738785
1479474767,1648175,1737320
1479482004,1645800,1734748
1479492892,1644367,1733154
1479496115,1643560,1732280
1479499723,1643247,1731892
1479503417,1643247,1731886
1479506913,1643723,1732399
1479510524,1644025,1732711
1479514219,1644186,1732883
1479517717,1644460,1733171
1479521311,1644400,1733116
