DateTime,Entries,UniqueIPs
1480641122,199,200
1480642322,198,199
1480642922,194,195
1480644121,196,197
1480645321,197,198
1480645922,198,199
1480647722,197,198
1480648322,198,199
1480649522,193,194
1480651322,192,193
1480652521,196,197
1480654321,197,198
1480654921,198,199
1480655522,197,198
1480656121,196,197
1480656722,197,198
1480657322,196,197
1480657922,195,196
1480660322,193,194
1480660922,192,193
1480661521,190,191
1480662722,192,193
1480663921,190,191
1480664522,189,190
1480665721,192,193
1480668122,191,192
1480671722,192,193
1480672322,201,202
1480672922,197,198
1480674122,208,210
1480674721,212,214
1480675922,211,213
1480677722,211,214
1480681922,210,213
1480682521,209,212
1480683722,210,213
1480684922,214,217
1480685521,213,216
1480690322,215,218
1480690921,216,219
1480698122,214,217
1480700522,213,216
1480701122,212,215
1480701721,213,216
1480702321,214,217
1480704122,212,215
1480704721,214,217
1480706522,213,216
1480707121,210,213
1480707722,213,216
1480708321,211,214
1480708921,205,208
1480710122,204,207
1480711322,205,208
1480711922,202,205
1480713122,199,202
1480714322,198,201
1480714921,200,203
1480717321,199,202
1480719122,198,201
1480719721,197,200
1480720321,199,202
1480722121,195,198
1480725122,198,201
1480725723,199,202
1480726921,198,201
1480729321,198,201
1480729922,208,211
1480731121,207,210
1480732922,208,211
1480733522,209,212
1480734721,210,213
1480735322,209,212
1480737122,207,210
1480737722,208,211
1480738922,207,210
1480739523,205,208
1480740721,203,206
1480741922,204,207
1480742521,205,208
1480743721,206,209
1480744921,209,212
1480746122,208,211
1480747323,208,211
1480748521,209,212
1480749722,208,211
1480752122,207,210
1480753922,208,211
1480754521,209,212
1480756922,207,209
1480758122,195,197
1480759321,197,199
1480760522,181,183
1480761721,180,182
1480762323,194,196
1480764721,195,197
1480766521,197,199
1480767721,201,203
1480768322,200,202
1480770122,199,201
1480771321,198,200
1480771921,196,198
1480772521,197,199
1480773122,197,199
1480776721,195,197
1480777921,197,199
1480779121,196,198
1480782121,197,199
1480783922,198,200
1480788122,196,198
1480788721,197,199
1480791721,198,200
1480792321,192,194
1480793521,191,193
1480795922,189,191
1480799522,190,192
1480800122,189,191
1480801321,187,189
1480802521,189,191
1480803122,191,193
1480803721,192,194
1480807321,193,195
1480809721,189,191
1480810321,191,193
1480812122,189,191
1480815121,191,193
1480815721,183,185
1480816322,183,185
1480816922,185,187
1480818122,186,188
1480820522,185,187
1480821122,185,187
1480822921,186,188
1480823521,186,188
1480824131,185,187
1480826521,184,186
1480827722,183,185
1480828322,182,184
1480828921,183,185
1480830121,180,182
1480831321,181,183
1480833121,182,184
1480834322,181,183
1480835522,179,181
1480839721,178,180
1480840321,177,179
1480842722,178,180
1480845721,177,178
1480847521,176,177
1480848122,164,164
1480848722,165,165
1480852322,163,163
1480852921,160,160
1480854122,159,159
1480855322,160,160
1480855921,163,163
1480856521,158,158
1480857721,163,163
1480858922,161,161
1480860121,162,162
1480861921,163,163
1480862522,163,163
1480863722,162,162
1480869722,163,163
1480870921,164,164
1480872122,162,162
1480873921,163,163
1480878721,164,164
1480879322,163,163
1480880522,160,160
1480882322,159,159
1480882921,160,160
1480883522,159,159
1480885321,158,158
1480887122,160,160
1480888323,170,170
1480888921,185,185
1480889521,187,187
1480891322,186,186
1480891921,183,183
1480892521,185,185
1480893121,184,184
1480896121,183,183
1480896722,182,182
1480898521,183,183
1480899722,184,184
1480900921,183,183
1480903921,185,185
1480905721,184,184
1480907522,184,184
1480909321,183,183
1480909922,180,180
1480910522,182,182
1480911121,181,181
1480912321,180,180
1480912923,178,178
1480914121,179,179
1480915322,178,178
1480920122,179,179
1480921922,178,178
1480924322,183,183
1480924921,182,182
1480926121,182,182
1480927322,184,184
1480930922,183,183
1480931522,184,184
1480932121,185,185
1480933321,186,186
1480934521,185,185
1480935721,186,186
1480936922,187,187
1480937521,185,185
1480938722,184,184
1480939321,186,186
1480941721,184,184
1480943522,182,182
1480945921,183,183
1480951322,184,184
1480951922,185,185
1480955521,184,184
1480956721,183,183
1480957322,181,181
1480959721,182,182
1480961521,181,181
1480963321,182,182
1480965121,183,183
1480965722,185,185
1480966321,184,184
1480967522,183,183
1480969322,182,182
1480972321,183,183
1480973522,182,182
1480975321,152,152
1480976521,150,150
1480977721,149,149
1480978922,150,150
1480981321,149,149
1480983123,153,153
1480986121,154,154
1480987322,155,155
1480990921,156,156
1480992121,157,157
1480993322,156,156
1480995122,155,155
1480996322,158,158
1480999922,159,159
1481001122,160,160
1481003521,161,161
1481007722,160,160
1481008921,156,156
1481010121,149,149
1481010721,150,150
1481011922,149,149
1481013721,151,151
1481016722,153,153
1481017321,152,152
1481018522,150,150
1481019721,151,151
1481020321,151,151
1481022122,153,153
1481023322,154,154
1481025122,156,156
1481027522,155,155
1481029922,153,153
1481032321,158,158
1481034722,159,159
1481036522,160,160
1481038322,161,161
1481042521,159,159
1481044322,161,161
1481045521,161,161
1481047921,162,162
1481049721,161,161
1481052121,159,159
1481053921,161,161
1481056321,161,161
1481058121,162,162
1481059321,162,162
1481060522,164,164
1481062322,165,165
1481064121,165,165
1481064721,164,164
1481065921,168,168
1481067122,170,170
1481068922,145,145
1481072521,148,148
1481074321,147,147
1481075522,150,150
1481076722,152,152
1481079121,151,151
1481081521,160,160
1481083321,161,161
1481084521,162,162
1481087521,163,163
1481089922,162,162
1481091121,163,163
1481094121,164,164
1481095922,165,165
1481098922,168,168
1481103122,169,169
1481104921,171,171
1481106121,170,170
1481107922,170,170
1481110921,169,169
1481113321,170,170
1481116921,169,169
1481119921,170,170
1481121121,170,170
1481124122,171,171
1481130122,172,172
1481131322,171,171
1481135522,170,170
1481137322,171,171
1481138522,172,172
1481139722,170,170
1481141522,170,170
1481143321,172,172
1481143922,170,170
1481144522,172,172
1481145121,171,171
1481146321,166,166
1481146922,168,168
1481148122,165,165
1481149321,163,163
1481149921,164,164
1481151722,162,162
1481154121,155,155
1481155322,157,157
1481157722,158,158
1481158322,159,159
1481158921,158,158
1481160723,160,160
1481161322,157,157
1481162521,159,159
1481164922,160,160
1481165522,159,159
1481166122,160,160
