DateTime,AddedIPs,RemovedIPs
1480405322,1,0
1480406522,3,0
1480410122,1,0
1480411322,4,0
1480416721,2,0
1480417922,1,2
1480418522,1,0
1480419722,2,0
1480421521,2,0
1480422122,1,0
1480422722,0,1
1480426922,1,0
1480431122,1,1
1480432322,16,0
1480432921,1,0
1480434122,1,0
1480435322,0,1
1480436522,0,1
1480440122,0,2
1480441922,1,0
1480443121,0,2
1480452122,0,1
1480453922,1,0
1480454521,3,0
1480459322,0,1
1480459922,0,2
1480460522,1,1
1480461121,1,0
1480461722,0,2
1480462921,0,1
1480464122,1,45
1480467121,1,0
1480469522,2,0
1480472521,1,0
1480474321,0,2
1480474921,2,0
1480479122,2,0
1480481522,1,0
1480482721,6,0
1480483322,1,0
1480488721,0,1
1480489321,1,1
1480490522,0,1
1480500122,5,0
1480501321,1,0
1480503122,1,0
1480504322,0,1
1480504921,6,0
1480506121,0,1
1480506722,1,0
1480509722,1,0
1480510923,1,0
1480512121,1,0
1480513321,1,0
1480514522,0,3
1480515122,4,0
1480518721,2,0
1480521122,1,0
1480521721,0,1
1480522922,0,2
1480523521,2,0
1480524121,1,0
1480526522,3,0
1480528921,1,0
1480529522,1,0
1480530722,1,1
1480531322,0,1
1480532522,1,0
1480536122,1,2
1480536722,0,1
1480537321,0,1
1480537922,1,1
1480538521,2,0
1480539721,4,0
1480542122,1,0
1480544521,0,21
1480546922,1,1
1480548122,4,1
1480549321,0,2
1480551722,2,0
1480555322,4,0
1480557722,1,0
1480560721,0,1
1480563121,1,0
1480566721,1,0
1480568521,0,1
1480570322,1,0
1480570921,0,2
1480573921,1,0
1480578122,1,0
1480579322,0,4
1480584722,0,1
1480587122,3,0
1480588921,8,46
1480589522,1,0
1480590722,2,0
1480591322,0,5
1480594921,0,2
1480595522,0,1
1480597322,0,1
1480600922,2,5
1480601522,0,4
1480611121,1,1
1480611721,0,1
1480612322,1,0
1480615322,1,0
1480620722,1,0
1480621322,2,0
1480623121,1,4
1480626122,0,6
1480627321,1,1
1480628521,3,2
1480630322,1,0
1480634521,0,1
1480636922,1,0
1480638121,1,0
1480638722,0,4
1480639922,2,0
1480641122,2,0
1480641722,0,2
1480645321,1,0
1480647722,1,0
1480652521,2,0
1480654321,1,0
1480654921,1,2
1480659721,0,1
1480660922,1,0
1480662722,2,0
1480665721,3,0
1480672322,9,0
1480674122,17,0
1480674721,3,0
1480677722,1,0
1480680122,0,2
1480683722,1,0
1480684922,2,0
1480690322,3,3
1480690921,1,0
1480693321,0,4
1480693922,0,2
1480694522,0,1
1480695722,0,3
1480700522,0,1
1480701721,1,2
1480702321,1,0
1480704122,0,4
1480704721,1,0
1480707722,3,0
1480710122,1,0
1480711322,1,5
1480711922,0,6
1480714322,0,1
1480714921,1,0
1480717321,0,2
1480719122,0,29
1480720321,2,2
1480721522,0,1
1480722121,0,7
1480725122,3,0
1480725723,1,0
1480729321,1,0
1480729922,10,0
1480732922,1,0
1480733522,1,0
1480734721,1,0
1480735322,0,1
1480738922,1,0
1480740721,1,0
1480744921,2,0
1480748521,1,0
1480749122,0,2
1480751522,0,2
1480753922,1,0
1480754521,1,0
1480756922,0,1
1480759321,3,0
1480762323,14,0
1480764721,1,1
1480766521,2,0
1480767721,3,0
1480768921,0,1
1480771321,3,1
1480774922,0,1
1480777921,1,0
1480779721,0,1
1480780321,0,1
1480782121,1,0
1480783922,1,0
1480788721,1,0
1480789321,0,1
1480791721,2,0
1480792321,0,1
1480792921,0,1
1480797721,0,1
1480803122,2,0
1480804921,0,3
1480806122,0,4
1480807922,0,1
1480809122,0,45
1480810321,1,0
1480815121,4,0
1480816922,2,0
1480818122,1,0
1480821122,1,0
1480822921,1,0
1480827722,2,0
1480828322,0,1
1480828921,1,0
1480833121,1,0
1480842722,1,0
1480848722,1,0
1480850521,0,1
1480853522,0,16
1480855921,2,0
1480857721,5,0
1480858922,0,1
1480866121,0,1
1480873921,1,0
1480879322,0,1
1480881722,0,6
1480882322,0,2
1480887122,1,0
1480888323,8,0
1480888921,17,0
1480889521,1,0
1480891921,1,0
1480892521,1,0
1480893121,1,0
1480894321,0,1
1480896121,0,2
1480898521,1,0
1480900921,0,1
1480903921,2,0
1480904521,0,3
1480905721,0,2
1480907522,1,2
1480910522,1,0
1480912923,2,0
1480920721,0,1
1480921321,0,3
1480922521,0,1
1480923121,0,2
1480923721,0,2
1480924322,5,0
1480924921,0,6
1480926121,0,2
1480927322,0,2
1480932121,1,0
1480933321,1,0
1480934521,0,1
1480935721,1,0
1480936922,1,0
1480937521,0,4
1480938121,0,3
1480939321,1,0
1480941721,0,9
1480942321,0,3
1480945921,1,0
1480951322,1,0
1480957922,0,1
1480958521,0,1
1480960322,0,2
1480960921,0,2
1480963321,0,1
1480965722,1,2
1480968121,0,2
1480969322,1,0
1480972321,1,0
1480973522,0,1
1480980122,0,5
1480981321,0,1
1480983123,3,8
1480987322,2,1
1480992121,2,0
1480996322,3,0
1481001122,1,0
1481003521,1,1
1481010121,1,0
1481013721,1,0
1481016722,2,0
1481019721,1,0
1481020321,1,0
1481022122,2,0
1481023322,1,4
1481032321,3,1
1481033522,0,3
1481034722,1,0
1481036522,1,0
1481038322,0,2
1481039522,0,1
1481042521,0,2
1481044322,1,0
1481047921,1,0
1481056321,0,2
1481057521,0,3
1481059321,0,2
1481060522,0,2
1481062322,2,0
1481064121,1,1
1481065921,0,3
1481067122,1,1
1481068922,3,21
1481070121,0,1
1481072521,2,0
1481075522,3,0
1481076722,1,0
1481081521,9,0
1481084521,1,0
1481087521,1,0
1481089922,0,1
1481095922,1,0
1481098922,3,0
1481101921,0,1
1481103122,1,0
1481104921,2,0
1481107922,1,1
1481113321,1,0
1481116921,0,1
1481121121,1,0
1481121721,0,1
1481127121,0,1
1481137322,1,0
1481138522,1,0
1481141522,1,0
1481144522,2,0
1481146922,1,0
1481148122,1,0
1481149921,1,3
1481150522,0,14
1481151722,2,3
1481152322,0,11
1481152922,0,1
1481155322,2,0
1481156522,0,1
1481158322,1,0
1481158921,0,1
1481160723,2,2
1481162521,2,0
1481163722,0,1
1481165522,0,1
1481166122,1,0
1481169722,1,2
1481170922,1,0
1481171521,0,2
1481173922,0,3
1481178121,0,2
1481182922,0,1
1481184122,0,1
1481185322,0,19
1481186521,1,0
1481187122,1,0
1481187721,0,1
1481188321,0,2
1481190121,0,1
1481191921,1,0
1481194322,0,1
1481196122,0,1
1481197322,0,8
1481199122,0,1
1481199722,4,0
1481200921,4,0
1481201521,1,3
1481202122,0,1
1481208121,3,0
1481209321,1,0
1481211722,1,0
1481212322,0,1
1481218922,2,4
1481220722,4,2
1481221321,0,2
1481221921,2,1
1481222521,0,1
1481223122,19,0
1481223721,6,0
1481224322,3,0
1481224921,3,5
1481226121,0,1
1481226722,0,1
1481227322,4,0
1481227922,2,0
1481228521,1,0
1481229122,1,0
1481229722,1,7
1481230922,1,0
1481231522,0,3
1481232121,1,7
1481236322,0,6
1481238121,0,2
1481240522,1,1
1481241722,1,1
1481242321,0,7
1481246521,3,1
1481250122,0,1
1481252521,1,2
1481253722,1,0
1481254321,0,1
1481254921,0,6
1481255521,0,1
1481256121,0,1
1481256722,1,0
1481260321,0,1
1481261522,0,2
1481262121,0,2
1481263322,19,0
1481264521,3,0
1481265722,2,0
1481266322,2,2
1481266921,0,3
1481268122,1,1
1481270522,0,1
1481271122,1,0
1481274121,0,4
1481275321,1,0
1481275921,0,1
1481276521,1,4
1481278921,1,3
1481280122,2,0
1481281322,0,3
1481283721,1,0
1481284921,2,3
1481286721,2,0
1481290322,1,0
1481292122,0,1
1481292721,3,0
1481294522,0,2
1481295722,0,1
1481297522,0,1
1481298722,0,1
1481300521,0,2
1481302921,0,2
1481305321,0,2
1481305922,0,1
1481306521,0,4
1481310121,1,0
1481311322,0,1
1481312521,5,0
1481313721,0,1
1481314921,0,1
1481315522,0,2
1481316722,0,1
1481317922,0,4
1481318522,0,2
1481319722,0,1
1481322122,0,2
1481323921,0,1
1481329321,0,1
1481330521,1,2
1481334121,1,0
1481339531,0,2
1481341321,0,1
1481344921,0,1
1481348521,1,0
1481349721,0,2
1481351522,0,5
1481352121,0,2
1481353321,0,1
1481356921,0,1
1481358121,0,1
1481359322,1,0
1481361121,1,3
1481362322,0,2
1481362922,0,3
1481366522,0,1
1481367722,0,2
1481368921,0,1
1481375521,1,0
1481376721,2,0
1481378521,0,1
1481380922,0,1
1481381521,0,3
1481383922,1,0
1481385121,0,1
1481392922,1,0
1481396522,1,1
1481399521,1,1
1481400721,0,1
1481403722,0,1
1481405521,0,1
1481409721,0,1
1481410322,0,6
1481411523,1,0
1481412121,0,1
1481414521,0,25
1481418122,1,0
1481421722,1,0
1481422321,1,0
1481425921,1,0
1481428921,0,1
1481450521,1,1
1481451122,2,0
1481461321,0,1
1481466121,1,0
1481469122,1,0
1481475121,0,1
1481476322,1,0
1481476921,1,0
1481479321,1,0
1481484122,1,0
1481487721,1,0
1481494921,1,1
