DateTime,Entries,UniqueIPs
1480920122,100,100
1480921922,100,100
1480922521,100,100
1480923121,100,100
1480924322,100,100
1480926121,100,100
1480927322,100,100
1480928522,100,100
1480929721,100,100
1480930322,100,100
1480930922,100,100
1480931522,100,100
1480932121,100,100
1480933321,100,100
1480934521,100,100
1480935721,100,100
1480936922,100,100
1480938722,100,100
1480939321,100,100
1480939921,100,100
1480941721,100,100
1480942921,100,100
1480943522,100,100
1480944121,100,100
1480945921,100,100
1480946522,100,100
1480947121,100,100
1480949521,100,100
1480950122,100,100
1480950721,100,100
1480951322,100,100
1480951922,100,100
1480952521,100,100
1480953122,100,100
1480953722,100,100
1480954322,100,100
1480954922,100,100
1480956122,100,100
1480956721,100,100
1480957322,100,100
1480957922,100,100
1480959122,100,100
1480959721,100,100
1480960921,100,100
1480961521,100,100
1480962121,100,100
1480962721,100,100
1480963321,100,100
1480964521,100,100
1480965121,100,100
1480965722,100,100
1480966321,100,100
1480967522,100,100
1480968121,100,100
1480968721,100,100
1480969322,100,100
1480969922,100,100
1480971122,100,100
1480972321,100,100
1480973522,100,100
1480975321,100,100
1480976521,100,100
1480977721,100,100
1480978922,100,100
1480981321,100,100
1480983123,77,77
1480984921,76,76
1480986121,73,73
1480986722,74,74
1480987322,77,77
1480987921,71,71
1480989122,70,70
1480990324,72,72
1480990921,73,73
1480991522,71,71
1480992121,77,77
1480992721,71,71
1480993322,72,72
1480995122,72,72
1480996322,75,75
1480996921,74,74
1480998122,73,73
1480998721,75,75
1480999922,77,77
1481000522,76,76
1481001122,79,79
1481001722,76,76
1481003521,76,76
1481004122,77,77
1481004721,75,75
1481005922,74,74
1481006521,76,76
1481007722,78,78
1481008921,82,82
1481010121,84,84
1481010721,85,85
1481011922,83,83
1481013721,86,86
1481015521,85,85
1481016722,87,87
1481017321,89,89
1481019721,91,91
1481020321,91,91
1481022122,90,90
1481023322,92,92
1481025122,88,88
1481026322,89,89
1481027522,89,89
1481028722,90,90
1481029922,88,88
1481031121,89,89
1481032321,96,96
1481033522,96,96
1481034722,92,92
1481036522,93,93
1481038322,93,93
1481039522,97,97
1481040722,97,97
1481042521,97,97
1481044322,100,100
1481045521,100,100
1481046721,100,100
1481047921,100,100
1481049721,100,100
1481053921,100,100
1481055121,100,100
1481056321,100,100
1481057521,100,100
1481058121,100,100
1481059321,100,100
1481060522,100,100
1481062322,100,100
1481064121,100,100
1481064721,100,100
1481065921,100,100
1481067122,100,100
1481068922,97,97
1481070121,98,98
1481071321,96,96
1481072521,100,100
1481073121,100,100
1481074321,100,100
1481075522,100,100
1481076722,100,100
1481078521,100,100
1481079121,100,100
1481080322,100,100
1481081521,100,100
1481083321,100,100
1481084521,100,100
1481086322,100,100
1481087521,100,100
1481088722,100,100
1481089922,100,100
1481091121,100,100
1481092921,100,100
1481094121,100,100
1481095922,100,100
1481098922,100,100
1481100121,100,100
1481101921,100,100
1481103122,100,100
1481104921,100,100
1481106121,100,100
1481107922,100,100
1481109722,100,100
1481113321,100,100
1481115122,100,100
1481116921,100,100
1481117522,100,100
1481118122,100,100
1481119321,100,100
1481119921,100,100
1481121121,100,100
1481122321,100,100
1481124122,100,100
1481124722,100,100
1481127121,100,100
1481128322,100,100
1481128922,100,100
1481130122,100,100
1481130722,100,100
1481131322,100,100
1481133121,100,100
1481133721,100,100
1481134321,100,100
1481135522,100,100
1481137322,100,100
1481138522,100,100
1481139722,100,100
1481140922,100,100
1481141522,100,100
1481142122,100,100
1481143321,100,100
1481144522,100,100
1481145121,100,100
1481146922,100,100
1481148122,100,100
1481149321,100,100
1481149921,100,100
1481150522,100,100
1481151722,100,100
1481152322,100,100
1481152922,100,100
1481153522,100,100
1481154121,100,100
1481155322,83,83
1481155922,80,80
1481157722,79,79
1481158322,81,81
1481158921,79,79
1481159522,80,80
1481160723,82,82
1481161322,82,82
1481162521,85,85
1481164922,83,83
1481165522,81,81
1481166122,83,83
1481167921,78,78
1481168522,79,79
1481169722,81,81
1481170322,82,82
1481170922,84,84
1481172122,75,75
1481173321,76,76
1481173922,75,75
1481175722,75,75
1481176921,76,76
1481178121,79,79
1481179322,77,77
1481179922,78,78
1481181121,79,79
1481182922,78,78
1481183521,77,77
1481184122,79,79
1481185322,82,82
1481186521,84,84
1481187122,86,86
1481190121,85,85
1481190722,86,86
1481191921,87,87
