DateTime,Entries,UniqueIPs
1479595803,4078,4078
1479599402,4060,4060
1479603003,4107,4107
1479606602,4073,4073
1479610202,4069,4069
1479613802,4046,4046
1479617402,4050,4050
1479621002,4064,4064
1479624602,4069,4069
1479628202,4054,4054
1479631802,4040,4040
1479635402,4029,4029
1479639002,4035,4035
1479642602,4002,4002
1479646202,3957,3957
1479649802,3968,3968
1479653402,3812,3812
1479657002,3955,3955
1479660602,3986,3986
1479664202,3961,3961
1479667802,3906,3906
1479671402,3907,3907
1479675002,3914,3914
1479678602,3883,3883
1479682202,3851,3851
1479685801,3823,3823
1479689402,3819,3819
1479693002,3819,3819
1479696602,3844,3844
1479700202,3885,3885
1479703802,3907,3907
1479707402,3967,3967
1479711002,4019,4019
1479714602,4067,4067
1479718202,4115,4115
1479721802,4173,4173
1479725402,4204,4204
1479729002,4250,4250
1479732602,4320,4320
1479736202,4289,4289
1479739802,4298,4298
1479743401,4165,4165
1479747002,4154,4154
1479750602,4156,4156
1479754201,4150,4150
1479757802,4136,4136
1479761402,4145,4145
1479765001,4119,4119
1479768601,4097,4097
1479772202,4212,4212
1479775802,4333,4333
1479779402,4331,4331
1479783002,4312,4312
1479786602,4264,4264
1479790202,4243,4243
1479793803,4200,4200
1479797402,4207,4207
1479801002,4179,4179
1479804602,4144,4144
1479808203,4146,4146
1479811802,4122,4122
1479815402,4102,4102
1479819003,4058,4058
1479822602,4075,4075
1479826202,4186,4186
1479829802,4257,4257
1479833402,4369,4369
1479837002,4350,4350
1479840602,4328,4328
1479844203,4298,4298
1479847802,4289,4289
1479851402,4299,4299
1479855002,4301,4301
1479858602,4211,4211
1479862203,4077,4077
1479865802,4022,4022
1479869402,4026,4026
1479873002,4187,4187
1479876602,4202,4202
1479880202,4227,4227
1479883802,4222,4222
1479887402,4182,4182
1479891001,4168,4168
1479894602,4193,4193
1479898202,4214,4214
1479901802,4193,4193
1479905402,4223,4223
1479909002,4197,4197
1479912602,3959,3959
1479916202,3977,3977
1479919801,3885,3885
1479923402,3861,3861
1479927002,3912,3912
1479930602,3936,3936
1479934202,3996,3996
1479937801,4016,4016
1479941402,4015,4015
1479945003,4032,4032
1479948603,4078,4078
1479952202,4102,4102
1479955802,4115,4115
1479959402,4162,4162
1479963002,4021,4021
1479966602,4032,4032
1479970202,4078,4078
1479973802,4107,4107
1479977402,4114,4114
1479981002,4117,4117
1479984602,4158,4158
1479988202,4180,4180
1479991802,4149,4149
1479995402,4109,4109
1479999002,4213,4213
1480002602,4228,4228
1480006202,4232,4232
1480009802,4272,4272
1480013402,4289,4289
1480017002,4308,4308
1480020602,4291,4291
1480024202,4289,4289
1480027802,4322,4322
1480031402,4310,4310
1480035002,4266,4266
1480038603,4280,4280
1480042202,4304,4304
1480045802,4284,4284
1480049402,4249,4249
1480053002,4255,4255
1480056602,4228,4228
1480060202,4197,4197
1480063802,4197,4197
1480067402,4218,4218
1480071002,4229,4229
1480074602,4248,4248
1480078201,4280,4280
1480081802,4290,4290
1480085402,4198,4198
1480089001,4188,4188
1480092602,4105,4105
1480096202,4063,4063
1480099802,4102,4102
1480103402,4099,4099
1480107002,4057,4057
1480110602,4053,4053
1480114202,4012,4012
1480117801,4038,4038
1480121402,4109,4109
1480125002,4076,4076
1480128602,4034,4034
1480132202,4024,4024
1480135802,3998,3998
1480139402,3970,3970
1480143002,3989,3989
1480146602,3964,3964
1480150203,3979,3979
1480153803,3934,3934
1480157402,3939,3939
1480161002,3979,3979
1480164602,4001,4001
1480168202,3972,3972
1480171802,4086,4086
1480175402,3983,3983
1480179002,3970,3970
1480182602,4007,4007
1480186202,4095,4095
1480189802,4088,4088
1480193402,4090,4090
1480197002,4143,4143
1480200603,4157,4157
1480204202,4198,4198
1480207803,4142,4142
1480211402,4151,4151
1480215002,4187,4187
1480218602,4161,4161
1480222202,4139,4139
1480225803,4136,4136
1480229402,4154,4154
1480233003,4167,4167
1480236602,4177,4177
1480240202,4153,4153
1480243802,4124,4124
1480247402,4067,4067
1480251002,4034,4034
1480254602,4054,4054
1480258202,3991,3991
1480261802,4122,4122
1480265402,4073,4073
