DateTime,Entries,UniqueIPs
1479873817,1012,1071
1479875796,1012,1071
1479877357,1011,1070
1479881018,1012,1071
1479884617,1010,1069
1479886236,1009,1068
1479888218,1008,1067
1479891818,1006,1065
1479894396,1009,1068
1479898958,1008,1067
1479902618,1008,1067
1479904897,1007,1066
1479906158,1005,1064
1479909758,1003,1062
1479913358,1005,1064
1479915037,1011,1070
1479916956,1009,1068
1479920616,1013,1072
1479924218,1015,1074
1479927818,1012,1071
1479931357,1015,1074
1479933697,1018,1077
1479935018,1017,1076
1479938619,1019,1078
1479942219,1021,1080
1479943897,1023,1083
1479945757,1020,1080
1479949357,1022,1082
1479952717,1023,1083
1479956617,1025,1085
1479960217,1025,1085
1479961897,1023,1083
1479963817,1020,1080
1479967359,1023,1083
1479970960,1019,1079
1479972637,1025,1085
1479974617,1022,1082
1479980557,1021,1081
1479985359,1018,1078
1479988959,1019,1079
1479991358,1023,1083
1479996157,1022,1082
1479999818,1021,1081
1480001438,1023,1083
1480003417,1021,1081
1480006958,1021,1081
1480010619,1023,1083
1480014218,1023,1083
1480017758,1021,1081
1480020158,1023,1083
1480021419,1022,1082
1480024959,1027,1087
1480028558,1025,1085
1480032158,1029,1090
1480035758,1032,1093
1480038158,1035,1096
1480039358,1034,1095
1480043019,1034,1095
1480046558,1035,1096
1480048238,1037,1098
1480053818,1039,1100
1480056218,1036,1097
1480061019,1036,1097
1480064560,1037,1098
1480066958,1039,1100
1480068163,1038,1099
1480071818,1039,1100
1480075364,1041,1102
1480079021,1040,1101
1480082558,1041,1102
1480086219,1042,1103
1480089758,1040,1101
1480093420,1042,1103
1480095699,1042,1103
1480100619,1042,1103
1480104164,1045,1106
1480105899,1047,1108
1480107763,1045,1106
1480111359,1047,1108
1480114119,1049,1108
1480118560,1044,1103
1480122160,1046,1105
1480124499,1049,1108
1480125819,1047,1106
1480129364,1050,1109
1480132959,1048,1107
1480134639,1051,1110
1480136559,1050,1109
1480140159,1045,1104
1480143819,1047,1106
1480147420,1047,1106
1480150961,1047,1106
1480153360,1051,1110
1480158220,1053,1112
1480161822,1049,1108
1480165360,1048,1107
1480168961,1045,1104
1480172200,1047,1106
1480176160,1048,1107
1480179820,1045,1104
1480182160,1046,1105
1480183361,1046,1104
1480186961,1048,1106
1480190620,1046,1104
1480192240,1049,1107
1480194160,1050,1108
1480197820,1045,1103
1480201360,1039,1097
1480204960,1040,1098
1480208560,1041,1099
1480210841,1040,1098
1480215762,1042,1100
1480219363,1045,1103
1480221100,1043,1101
1480222960,1041,1099
1480226622,1043,1101
1480229261,1044,1102
1480233762,1039,1097
1480237420,1041,1099
1480239641,1041,1099
1480244566,1038,1096
1480248161,1039,1097
1480249841,1042,1100
1480255422,1040,1098
1480258961,1040,1098
1480262561,1042,1100
1480266161,1045,1103
1480268321,1044,1102
1480269766,1042,1100
1480273363,1042,1100
1480276964,1045,1103
1480280622,1043,1101
1480284161,1044,1102
1480286801,1048,1106
1480291423,1050,1108
1480294962,1043,1101
1480296703,1044,1102
1480302162,1044,1102
1480305764,1038,1096
1480307502,1037,1095
1480313022,1036,1094
1480316322,1035,1093
1480316562,1032,1090
1480320223,1034,1092
1480323824,1034,1092
1480325802,1037,1095
1480327364,1034,1092
1480330962,1038,1096
1480334622,1037,1095
1480336242,1040,1098
1480338164,1038,1094
1480341762,1040,1096
1480344822,1045,1101
1480348964,1045,1101
1480352622,1041,1097
1480354842,1046,1102
1480359763,1044,1100
1480363424,1040,1095
1480365103,1043,1098
1480370565,1044,1099
1480374163,1042,1097
1480377763,1045,1100
1480381363,1047,1102
1480383703,1046,1101
1480388565,1041,1096
1480392163,1043,1098
1480393843,1047,1102
1480399363,1043,1098
1480402963,1046,1101
1480406624,1047,1102
1480410166,1049,1104
1480411904,1054,1109
1480413823,1052,1107
1480417364,1053,1108
1480420963,1054,1109
1480424623,1052,1107
1480428167,1048,1103
1480431823,1054,1109
1480435363,1053,1108
1480438964,1050,1105
1480441364,1052,1107
1480442563,1048,1103
1480446225,1048,1103
1480449764,1047,1102
1480451504,1050,1105
1480457024,1050,1105
1480460565,1053,1108
1480464165,1051,1106
1480467824,1053,1108
1480469984,1052,1107
1480471424,1049,1104
1480475024,1052,1107
1480478625,1053,1108
1480479644,1052,1107
1480482164,1052,1107
1480485766,1054,1109
1480487804,1055,1110
1480489364,1050,1105
1480493026,1051,1106
1480496567,1050,1105
1480498244,1050,1105
1480500164,1044,1099
1480503767,1047,1102
1480510966,1050,1105
1480514625,1051,1106
1480516844,1052,1107
1480521765,1053,1108
1480525425,1056,1111
1480527105,1057,1112
1480532625,1051,1104
1480535085,1055,1108
1480539765,1049,1102
1480543425,1050,1103
1480545405,1053,1106
1480550567,1055,1108
1480554166,1056,1109
1480555905,1063,1116
1480557765,1062,1114
1480561365,1063,1115
1480563705,1062,1114
1480565025,1058,1110
1480568565,1056,1108
1480572226,1055,1107
1480573965,1056,1108
1480579367,1056,1108
1480582966,1060,1112
1480584646,1064,1116
1480590165,1062,1114
1480597367,1057,1109
1480600966,1057,1109
1480603366,1059,1111
1480604567,1056,1108
1480608227,1057,1109
1480611767,1058,1110
1480613506,1061,1113
1480615370,1060,1112
1480618967,1062,1114
1480622326,1062,1114
1480626230,1063,1115
1480629768,1061,1113
1480632166,1060,1111
1480636966,1060,1111
1480640567,1063,1114
1480642246,1065,1116
1480644167,1063,1114
1480647826,1061,1112
1480650166,1065,1116
1480654966,1062,1113
1480658626,1060,1111
1480660607,1063,1114
1480662171,1060,1111
1480665767,1063,1114
1480669368,1064,1115
1480671107,1063,1114
1480672967,1061,1111
1480676568,1062,1112
1480680228,1062,1112
1480683826,1063,1113
1480687367,1067,1117
1480689767,1071,1121
1480694567,1076,1126
1480699907,1080,1130
1480705427,1080,1130
1480708187,1081,1131
1480708967,1077,1127
1480712569,1078,1128
1480716171,1078,1128
1480718567,1081,1131
1480723367,1082,1132
1480726967,1081,1131
1480728648,1082,1132
1480730627,1079,1129
1480734167,1078,1128
1480736568,1080,1130
1480741369,1077,1127
1480744969,1076,1126
1480747377,1078,1128
1480752177,1075,1125
1480755777,1071,1121
1480762977,1075,1125
1480765857,1076,1126
1480770237,1076,1126
1480773839,1077,1127
1480776117,1074,1124
1480777378,1071,1121
1480780979,1075,1125
1480784577,1076,1126
1480786257,1077,1127
1480788177,1072,1122
1480791777,1076,1126
1480795138,1075,1125
1480798977,1077,1127
1480802577,1078,1128
1480804797,1079,1129
1480806177,1074,1124
1480809779,1078,1128
1480813378,1080,1130
1480815058,1079,1129
1480816979,1078,1128
1480820580,1080,1130
1480823038,1081,1131
1480824178,1071,1121
1480827778,1074,1124
1480831378,1074,1124
1480833778,1074,1124
1480834980,1072,1122
1480838578,1074,1124
1480842178,1073,1123
1480843858,1074,1124
1480845778,1068,1118
1480849381,1069,1119
1480852978,1065,1115
1480856578,1067,1117
1480860179,1066,1116
1480862518,1064,1114
1480867380,1063,1113
1480870980,1061,1111
1480872718,1062,1112
1480874579,1061,1111
1480878178,1061,1111
1480881780,1056,1106
1480885378,1060,1110
1480888978,1059,1109
1480891139,1060,1110
1480896178,1056,1106
1480899778,1056,1106
1480901459,1057,1107
1480903379,1054,1104
1480906980,1055,1105
1480909799,1056,1106
1480914179,1052,1102
1480917779,1054,1104
1480920179,1055,1105
1480924979,1057,1107
1480928580,1058,1108
1480930319,1060,1110
1480932181,1059,1109
1480935781,1054,1104
1480938839,1057,1107
1480942979,1057,1107
1480946579,1055,1105
1480948919,1059,1109
1480950179,1054,1104
1480953779,1053,1103
1480957379,1054,1104
1480959060,1059,1109
1480964580,1058,1108
1480966860,1066,1116
1480968179,1062,1112
1480971781,1069,1119
1480975380,1064,1114
1480977120,1066,1116
1480978981,1064,1114
1480982580,1066,1116
1480986181,1069,1119
1480989782,1065,1115
1480993381,1066,1116
1480995780,1070,1120
1481000580,1069,1119
1481004180,1070,1120
1481005860,1074,1124
1481007782,1071,1121
1481011380,1073,1123
1481014020,1074,1124
1481018580,1073,1123
1481022182,1072,1122
1481025781,1071,1121
1481029380,1070,1120
1481032980,1067,1117
1481034611,1070,1120
1481036580,1066,1115
1481040182,1071,1120
1481043781,1068,1117
1481047380,1067,1116
1481050983,1065,1114
1481052721,1067,1116
1481054583,1063,1112
1481058181,1064,1113
1481063409,1068,1117
1481068982,1065,1114
1481071741,1065,1114
1481076183,1061,1110
1481079781,1062,1111
1481082121,1063,1112
1481083381,1059,1108
1481086984,1059,1108
1481090582,1064,1113
1481092212,1061,1110
1481094121,1060,1109
1481097781,1062,1111
1481100422,1068,1117
1481101382,1065,1114
1481104983,1068,1117
1481108583,1069,1118
1481110922,1069,1118
1481119382,1070,1119
1481121010,1072,1121
1481126583,1067,1116
1481130182,1066,1115
1481133782,1072,1121
1481137323,1074,1123
1481139123,1072,1121
1481140984,1071,1120
1481144582,1071,1120
1481146863,1072,1121
1481148123,1069,1118
1481151787,1072,1121
1481155384,1067,1116
1481157063,1064,1113
1481158984,1063,1112
1481162582,1064,1113
1481166184,1059,1108
1481169783,1063,1112
1481173383,1061,1110
1481175123,1062,1111
1481180583,1060,1109
1481184183,1064,1113
1481185863,1066,1115
1481191383,1066,1115
1481194985,1067,1116
1481198583,1068,1117
1481202183,1070,1119
1481203923,1072,1121
1481209385,1070,1119
1481212984,1069,1118
1481214611,1072,1121
1481216584,1073,1122
1481220126,1070,1119
1481223727,1071,1120
1481227386,1075,1124
1481230986,1075,1124
1481232726,1074,1123
1481238186,1072,1121
1481241786,1073,1122
1481243410,1075,1124
1481245388,1074,1123
1481248988,1076,1125
1481251628,1075,1124
1481256128,1076,1125
1481259730,1076,1125
1481261530,1073,1122
1481263389,1072,1121
1481266991,1071,1120
1481270589,1071,1120
1481272211,1072,1121
1481274129,1067,1116
1481277791,1069,1118
1481281391,1071,1120
1481284990,1072,1121
1481288590,1074,1123
1481290331,1075,1124
1481295792,1073,1122
1481299392,1076,1125
1481301013,1073,1122
1481302993,1071,1120
1481306593,1073,1122
1481309173,1074,1123
1481310193,1069,1118
1481313795,1069,1118
1481317333,1070,1119
1481319674,1072,1121
1481324595,1077,1126
1481328135,1076,1125
1481329814,1077,1126
1481335395,1076,1125
1481338995,1075,1124
1481342534,1074,1123
1481346196,1071,1120
1481348534,1072,1122
1481349794,1068,1118
1481353394,1070,1121
1481356934,1064,1115
1481358614,1065,1116
1481364195,1061,1112
1481367315,1061,1113
1481367794,1060,1112
1481371396,1064,1116
1481374996,1061,1113
1481377034,1062,1114
1481378596,1060,1112
1481382194,1060,1112
1481385797,1062,1114
1481387475,1064,1116
1481389396,1063,1114
1481392997,1065,1116
1481396535,1063,1114
1481400135,1064,1114
1481403796,1063,1113
1481405835,1065,1115
1481407337,1059,1109
1481410995,1063,1113
1481414597,1064,1114
1481416276,1063,1113
1481418136,1061,1111
1481421797,1060,1110
1481425396,1057,1107
1481428997,1062,1112
1481432537,1058,1108
1481434875,1059,1109
1481436196,1055,1104
