DateTime,Entries,UniqueIPs
1479852158,1018,1018
1479855756,1017,1017
1479857496,1015,1015
1479862957,1016,1016
1479865416,1017,1017
1479870216,1017,1017
1479873817,1017,1017
1479875796,1018,1018
1479881018,1016,1016
1479884617,1016,1016
1479886236,1015,1015
1479888218,1013,1013
1479891818,1012,1012
1479894396,1014,1014
1479902618,1009,1009
1479904897,1009,1009
1479909758,1006,1006
1479913358,1008,1008
1479915037,1012,1012
1479920616,1012,1012
1479924218,1011,1011
1479927818,1014,1014
1479931357,1014,1014
1479933697,1017,1017
1479935018,1016,1016
1479938619,1017,1017
1479942219,1019,1019
1479943897,1022,1022
1479945757,1023,1023
1479949357,1022,1022
1479952717,1023,1023
1479953017,1021,1021
1479956617,1022,1022
1479960217,1022,1022
1479961897,1021,1021
1479963817,1020,1020
1479967359,1021,1021
1479970960,1016,1016
1479972637,1019,1019
1479978157,1020,1020
1479980557,1022,1022
1479985359,1024,1024
1479988959,1024,1024
1479991358,1026,1026
1479996157,1030,1030
1479999818,1030,1030
1480001438,1031,1031
1480003417,1032,1032
1480006958,1033,1033
1480010619,1029,1029
1480014218,1032,1032
1480017758,1034,1034
1480020158,1033,1033
1480021419,1031,1031
1480024959,1034,1034
1480028558,1035,1035
1480032158,1040,1040
1480035758,1038,1038
1480038158,1042,1042
1480043019,1043,1043
1480046558,1044,1044
1480048238,1045,1045
1480050220,1044,1044
1480053818,1044,1044
1480056218,1044,1044
1480061019,1042,1042
1480064560,1043,1043
1480066958,1044,1044
1480071818,1045,1045
1480075364,1045,1045
1480079021,1044,1044
1480082558,1041,1041
1480086219,1041,1041
1480089758,1042,1042
1480093420,1042,1042
1480095699,1047,1047
1480100619,1046,1046
1480104164,1045,1045
1480105899,1050,1050
1480111359,1051,1051
1480114119,1050,1050
1480114960,1048,1048
1480118560,1047,1047
1480122160,1047,1047
1480124499,1048,1048
1480129364,1051,1051
1480132959,1051,1051
1480134639,1050,1050
1480140159,1049,1049
1480143819,1050,1050
1480147420,1048,1048
1480150961,1045,1045
1480153360,1045,1045
1480158220,1042,1042
1480161822,1042,1042
1480168961,1039,1039
1480172200,1042,1042
1480176160,1039,1039
1480179820,1041,1041
1480182160,1041,1041
1480186961,1041,1041
1480190620,1040,1040
1480192240,1043,1043
1480194160,1044,1044
1480197820,1043,1043
1480201360,1042,1042
1480204960,1041,1041
1480208560,1036,1036
1480215762,1038,1038
1480219363,1036,1036
1480221100,1036,1036
1480222960,1033,1033
1480226622,1032,1032
1480229261,1034,1034
1480233762,1032,1032
1480237420,1034,1034
1480239641,1037,1037
1480244566,1037,1037
1480248161,1037,1037
1480249841,1037,1037
1480251761,1036,1036
1480255422,1036,1036
1480258961,1039,1039
1480262561,1038,1038
1480266161,1040,1040
1480268321,1036,1036
1480269766,1035,1035
1480273363,1036,1036
1480276964,1034,1034
1480278701,1031,1031
1480280622,1030,1030
1480284161,1032,1032
1480286801,1034,1034
1480291423,1034,1034
1480294962,1036,1036
