DateTime,Entries,UniqueIPs
1479365523,32,32
1479369123,29,29
1479372723,28,28
1479376323,27,27
1479380221,24,24
1479383822,26,26
1479387421,26,26
1479394621,24,24
1479398523,23,23
1479402421,23,23
1479406021,24,24
1479409621,26,26
1479420421,24,24
1479424021,23,23
1479427622,21,21
1479434822,19,19
1479438422,17,17
1479445622,13,13
1479449221,14,14
1479452822,15,15
1479460022,15,15
1479463621,17,17
1479467222,17,17
1479470822,15,15
1479474421,14,14
1479478022,15,15
1479485221,15,15
1479488822,14,14
1479492422,13,13
1479496022,11,11
1479514622,12,12
1479518221,14,14
1479536523,13,13
1479540122,12,12
1479547323,9,9
1479550923,8,8
1479554523,6,6
1479562021,5,5
1479572822,5,5
1479587222,6,6
1479590821,7,7
1479601923,8,8
1479605523,6,6
1479630723,9,9
1479634323,11,11
1479637923,11,11
1479648723,12,12
1479659523,12,12
1479670323,14,14
1479673923,13,13
1479677523,12,12
1479681123,13,13
1479688323,11,11
1479691922,12,12
1479695523,13,13
1479699123,14,14
1479702723,15,15
1479713523,16,16
1479717123,16,16
1479720723,72,72
1479724323,85,85
1479727924,136,136
1479731525,222,222
1479735126,297,297
1479738728,458,458
1479742329,598,598
1479746228,628,628
1479749827,631,631
1479757029,631,631
1479760629,641,641
1479764228,646,646
1479767829,648,648
1479772028,653,653
1479775628,664,664
1479779227,677,677
1479782828,694,694
1479786428,718,718
1479790028,738,738
1479793630,755,755
1479797230,754,754
1479800829,755,755
1479804429,756,756
1479808029,691,691
1479811629,689,689
1479815227,623,623
1479818827,594,594
1479822427,689,689
1479826027,728,728
1479829626,691,691
1479833227,706,706
1479836826,764,764
1479840428,795,795
1479844027,794,794
1479847627,786,786
1479851226,781,781
1479854826,779,779
1479858427,781,781
1479862027,861,861
1479865930,959,959
1479869531,1205,1205
1479873132,1508,1508
1479876732,1773,1773
1479880333,1928,1928
1479883934,2062,2062
1479887534,2081,2081
1479891134,2082,2082
1479894734,2080,2080
1479898334,2081,2081
1479901935,2081,2081
1479905533,2017,2017
1479909133,1895,1895
1479912734,1876,1876
1479916334,2069,2069
1479919935,2158,2158
1479923534,2130,2130
1479927134,2126,2126
1479930736,2156,2156
1479934335,2177,2177
1479937935,2178,2178
1479941535,2179,2179
1479945136,2201,2201
1479948736,2207,2207
1479952336,2219,2219
1479955934,2091,2091
1479959535,1905,1905
1479963136,1782,1782
1479966735,1759,1759
1479970335,1824,1824
1479973934,1809,1809
1479977534,1810,1810
1479981134,1812,1812
1479984734,1810,1810
1479988334,1809,1809
1479991935,1808,1808
1479995535,1787,1787
1479999134,1786,1786
1480002733,1669,1669
1480006631,1560,1560
1480010229,1532,1532
1480013830,1509,1509
1480017430,1475,1475
1480021030,1468,1468
1480024629,1475,1475
1480028230,1474,1474
1480031830,1445,1445
1480035429,1404,1404
1480039031,1346,1346
1480042629,1329,1329
1480046229,1289,1289
1480049829,1270,1270
1480053429,1320,1320
1480057029,1485,1485
1480060632,1824,1824
1480064232,1925,1925
1480067832,1941,1941
1480071433,2045,2045
1480075033,2180,2180
1480078635,2310,2310
1480082235,2324,2324
1480085836,2442,2442
1480089436,2425,2425
1480093038,2559,2559
1480096939,2671,2671
1480100839,2776,2776
1480104738,2857,2857
1480108639,2901,2901
1480112238,2907,2907
1480115838,2911,2911
1480120037,2888,2888
1480123640,2854,2854
1480127239,2812,2812
1480130838,2738,2738
1480134439,2608,2608
1480138037,2417,2417
1480141635,2156,2156
1480145233,1795,1795
1480148831,1489,1489
1480152432,1487,1487
1480156030,1411,1411
1480159629,1274,1274
1480163230,1173,1173
1480166828,1052,1052
1480170427,940,940
1480174025,669,669
1480177625,520,520
1480181224,405,405
1480184823,307,307
1480188423,205,205
1480192022,130,130
1480195622,64,64
1480199222,61,61
1480202822,57,57
1480206422,47,47
1480210022,37,37
1480213622,16,16
1480217222,3,3
1480224422,4,4
1480238822,3,3
1480242422,2,2
1480246021,3,3
1480260421,2,2
1480285621,3,3
1480303622,4,4
1480307222,5,5
1480310821,5,5
1480314422,7,7
1480318021,9,9
1480321622,11,11
1480325221,13,13
1480332422,16,16
1480336022,18,18
1480339625,302,302
1480343225,396,396
1480346827,777,777
1480350429,1294,1294
1480354030,1392,1392
