DateTime,AddedIPs,RemovedIPs
1479133982,11,5
1479137581,0,9
1479141182,3,0
1479144781,0,8
1479148381,5,7
1479151981,2,6
1479159181,9,0
1479162781,0,6
1479166381,10,5
1479173581,6,5
1479180781,5,7
1479187981,2,3
1479195181,1,0
1479198782,0,4
1479202381,7,1
1479209581,8,4
1479216781,4,0
1479220381,0,9
1479223981,4,0
1479227581,0,4
1479231181,5,0
1479234781,3,7
1479238381,0,5
1479241981,3,0
1479245581,5,6
1479252781,2,10
1479259981,5,3
1479263581,0,3
1479267181,2,0
1479270781,0,2
1479274381,6,0
1479281581,9,3
1479288781,3,6
1479295981,4,9
1479299582,0,1
1479303181,7,0
1479310381,3,4
1479313981,0,1
1479317581,4,6
1479324781,4,0
1479328381,0,12
1479331981,5,0
1479339181,5,3
1479346381,4,3
1479349981,0,3
1479353581,7,0
1479357181,0,7
1479360781,5,0
1479364381,0,11
1479367981,3,0
1479371581,0,5
1479375181,4,0
1479378782,0,6
1479382381,3,0
1479389581,9,2
1479393181,0,7
1479396781,11,0
1479403981,3,5
1479411181,8,4
1479414781,0,5
1479421981,8,0
1479425581,0,3
1479429181,5,0
1479432781,0,2
1479436381,2,0
1479439981,0,5
1479443582,10,0
1479447181,0,3
1479450781,2,0
1479454381,0,10
1479457982,9,3
1479465181,3,0
1479468781,0,2
1479472381,8,6
1479479581,4,10
1479486782,1,4
1479493981,4,8
1479501181,4,0
1479504782,0,8
1479508381,10,0
1479511981,0,5
1479515581,10,0
1479519182,0,8
1479522781,2,0
1479526381,0,5
1479529981,2,0
1479537181,5,6
1479544381,6,3
1479547981,0,5
1479551582,6,0
1479558781,9,4
1479565981,7,9
1479569581,0,2
1479573181,10,0
1479580381,5,5
1479583981,6,6
1479591181,10,0
1479594781,6,3
1479601981,7,5
1479609181,10,5
1479612781,0,7
1479616381,3,0
1479619982,4,2
1479627181,4,5
1479634381,8,0
1479637981,8,3
1479641581,3,7
1479648781,6,0
1479652381,0,6
1479655981,3,0
1479659581,8,9
1479666781,5,9
1479670382,0,8
1479673981,2,12
1479677581,4,0
1479681182,0,8
1479684781,1,6
1479691981,4,9
1479695581,7,0
1479702781,7,3
1479706381,0,4
1479709982,1,0
1479713581,0,3
1479717181,9,0
1479720781,0,14
1479724382,0,3
1479731581,4,0
1479735181,0,7
1479738781,4,0
1479742381,0,10
1479745981,3,0
1479749581,0,7
1479753182,3,0
1479756781,0,10
1479760381,11,0
1479763981,4,6
1479767581,2,0
1479771181,0,3
1479774781,1,2
1479778381,11,0
1479781982,0,5
1479785581,3,4
1479792781,6,0
1479796382,0,3
1479799981,9,0
1479803581,0,10
1479807181,5,0
1479810782,0,2
1479814381,2,9
1479821581,11,0
1479825181,0,7
1479828781,8,0
1479832381,0,2
1479835981,6,0
1479839581,0,5
1479843181,6,5
1479846782,10,0
1479850381,0,10
1479853981,3,0
1479861181,5,0
1479864781,0,8
1479868382,7,2
1479875581,1,0
1479879181,0,6
1479882781,2,6
1479889981,5,10
1479893581,8,0
1479897182,0,4
1479900781,7,0
1479904381,2,0
1479907981,0,6
1479911581,7,0
1479915181,3,2
1479922381,9,3
1479925981,0,6
1479929581,5,0
1479933181,0,11
1479936781,5,5
1479940381,5,0
1479943981,0,7
1479947582,4,0
1479954781,1,5
1479958381,0,3
1479961981,6,0
1479969181,9,3
1479976381,1,12
1479983581,4,0
1479987181,0,7
1479990781,8,2
1479994381,0,8
1479997981,7,0
1480001581,3,1
1480005182,0,7
1480008781,3,0
1480012381,0,5
1480015981,10,0
1480019581,4,0
1480023181,0,7
1480026781,7,4
1480030381,0,3
1480033981,6,0
1480037581,0,6
1480041181,3,0
1480048381,1,6
1480055581,4,4
1480059181,0,7
1480062781,3,0
1480069981,5,6
1480073582,0,5
1480077181,8,0
1480084381,2,11
1480091581,8,3
1480098781,2,10
1480102381,4,0
1480105982,0,4
1480109581,4,10
1480116782,7,0
1480120381,0,7
1480123981,6,2
1480131181,3,7
1480138381,14,4
1480145581,1,0
1480149181,0,5
1480152781,4,0
1480156381,0,3
1480159981,3,0
1480163581,0,4
1480167181,5,0
1480170781,0,2
1480174382,1,0
1480177981,1,6
1480185181,4,7
1480192381,3,0
1480195982,2,5
1480199581,0,9
1480203181,2,0
1480206781,0,1
1480210381,9,0
1480217582,2,3
1480221181,0,6
1480224781,2,0
1480228382,0,1
1480231981,9,0
1480239181,2,2
1480242781,0,3
1480246381,1,0
1480253581,6,6
1480257181,0,4
1480260781,7,4
1480267981,5,5
1480275182,8,0
1480278781,0,3
1480282381,4,2
1480289581,6,2
1480296781,2,8
1480300381,0,2
1480303981,3,0
1480311181,8,5
1480318381,4,4
1480321981,0,2
1480325581,3,0
1480329181,0,1
1480332781,5,0
1480339982,3,6
1480343581,0,8
1480347181,6,0
1480354381,4,6
1480361581,4,13
1480365181,0,2
1480368781,10,0
1480372382,0,4
1480375981,4,0
1480383181,4,4
1480390381,8,2
1480393981,0,2
1480404781,2,6
1480411981,7,7
1480419181,2,5
1480422781,0,7
1480426381,5,0
1480433581,5,2
1480437181,0,1
1480440782,4,0
1480447981,3,6
1480451581,2,4
1480458781,0,5
1480465981,8,3
1480473181,5,7
1480480382,8,5
1480487581,5,2
1480494781,2,12
1480501981,10,0
1480505582,0,3
1480509182,8,6
1480516381,7,7
1480523581,3,0
1480527181,0,4
1480530781,10,5
1480537981,2,3
1480541581,5,0
1480548781,4,9
1480555981,3,0
1480559581,0,8
1480563181,1,2
1480570381,2,4
1480577582,3,0
1480581181,0,6
1480584781,3,0
1480588382,3,6
1480595581,2,4
1480602781,1,3
1480606381,0,4
1480609981,3,0
1480613581,2,3
1480620781,7,0
1480627981,2,4
1480631581,1,4
1480638782,2,0
1480642381,0,6
1480645981,4,0
1480653181,6,0
1480656781,0,5
1480660381,3,5
1480667581,4,3
1480674782,6,2
1480678381,0,3
1480681981,5,0
1480685581,0,5
1480689181,8,0
1480692781,0,2
1480696381,7,3
1480703581,4,4
1480707181,3,0
1480710781,7,3
1480714382,0,5
1480717981,7,0
1480721581,0,2
1480725181,1,0
1480732381,0,3
1480735981,5,0
1480739581,0,4
1480743181,7,3
1480750381,6,0
1480753981,0,6
1480757582,8,3
1480764781,6,5
1480768381,2,0
1480771982,0,5
1480775581,1,0
1480782781,3,6
1480789981,5,5
1480793581,4,4
1480797181,0,2
1480800782,10,6
1480807981,4,0
1480811581,0,3
1480815181,4,0
1480822381,13,5
1480829581,3,5
1480833181,0,6
1480836781,2,0
1480843981,1,9
1480847581,0,5
1480851181,11,0
1480854781,0,1
1480858381,5,2
1480865582,4,6
1480872781,1,7
1480879981,4,1
1480887182,7,11
1480890781,7,0
1480894381,0,3
1480897981,5,0
1480901581,0,4
1480905181,2,6
1480908781,3,0
1480912381,0,4
1480915981,8,0
1480923181,2,2
1480930381,0,5
1480933981,4,10
1480937581,4,0
1480944781,9,4
1480951981,0,6
1480955581,4,3
1480959181,4,0
1480962781,7,0
1480966381,0,6
1480969981,3,0
1480973581,7,16
1480980782,4,4
1480984822,8,0
1480987981,0,2
1480991582,9,0
1480995181,0,5
1480998781,6,12
1481005981,14,4
1481013181,5,0
1481020381,6,11
1481027581,3,6
1481034781,10,0
1481038382,0,2
1481041981,5,5
1481045581,0,5
1481049181,5,0
1481052781,6,8
1481056381,0,6
1481059982,4,0
1481064028,3,0
1481067181,0,7
1481071226,6,0
1481078423,7,6
1481081581,0,9
1481086223,4,0
1481088781,0,14
1481095981,7,0
1481099581,7,3
1481103181,0,8
1481106781,5,0
1481110381,8,0
1481113981,0,5
1481117581,3,10
1481121181,1,0
1481128381,9,3
1481131982,3,0
1481135581,0,4
1481139182,4,4
1481142781,6,5
1481149981,5,2
1481157181,3,7
1481160782,2,0
1481164381,0,6
1481167981,5,0
1481171581,0,4
1481175181,10,0
1481182382,1,10
1481189581,3,0
1481193181,0,5
1481196781,8,3
1481203982,4,8
1481207581,4,4
1481214781,2,8
1481218381,4,2
1481221981,0,3
1481225581,7,0
1481229181,1,3
1481232781,0,3
1481236382,1,0
1481239982,5,6
1481243581,0,4
1481247181,4,0
1481254381,3,4
1481261582,7,7
1481265182,0,4
1481268781,9,0
1481275981,9,4
1481279582,4,0
1481283182,0,3
1481286781,10,0
1481290381,0,4
1481293981,3,3
1481297581,4,0
1481301181,0,3
1481304781,3,8
1481308381,5,0
1481311981,0,4
1481315581,14,4
1481319181,6,0
1481322781,0,2
1481326381,4,8
1481329981,7,5
1481337182,3,0
1481344381,2,6
1481351581,3,0
1481355181,3,11
1481358781,0,6
1481362381,9,7
1481369581,5,0
1481373181,5,10
1481380381,7,8
1481383981,5,0
1481387581,0,3
1481391181,7,0
1481394781,4,7
1481401981,2,17
1481405581,11,0
1481409181,0,4
1481412781,3,6
1481416381,2,0
1481423581,2,13
1481430781,8,4
1481437981,5,3
1481445181,0,8
1481448781,4,0
1481452381,6,5
1481455981,0,6
1481459581,3,0
1481463181,0,2
1481466781,4,0
1481470382,6,5
