DateTime,Entries,UniqueIPs
1478255581,793,814
1478262781,796,817
1478277181,796,817
1478280781,796,817
1478284381,797,818
1478291582,798,819
1478302381,798,819
1478305982,800,821
1478313181,801,822
1478316781,803,824
1478323981,804,825
1478331181,805,826
1478338381,805,826
1478345581,802,823
1478349181,805,826
1478356381,806,827
1478363581,807,828
1478370781,805,826
1478374381,806,827
1478377981,808,829
1478381581,806,827
1478392381,807,828
1478395981,808,829
1478403181,807,828
1478417582,807,829
1478421181,805,826
1478424781,804,825
1478435581,808,830
1478439181,808,829
1478453581,807,828
1478460782,807,828
1478467981,806,827
1478471581,805,826
1478478781,806,827
1478485981,805,826
1478489581,805,826
1478500381,805,826
1478514782,806,827
1478518381,806,827
1478521981,808,829
1478529181,809,830
1478536381,807,828
1478543581,807,828
1478547181,808,829
1478554381,807,828
1478565181,805,825
1478568781,806,826
1478575981,804,824
1478590382,804,824
1478597581,804,825
1478601182,805,826
1478608381,811,832
1478615581,812,833
1478619181,811,832
1478622781,812,833
1478626381,810,831
1478629981,811,833
1478633581,812,834
1478640781,812,834
1478651581,810,832
1478665982,812,834
1478676781,810,832
1478680381,808,830
1478691181,806,828
1478694781,808,830
1478701981,808,830
1478709181,806,828
1478712782,808,830
1478716381,809,831
1478719981,806,828
1478730781,805,827
1478734381,804,826
1478737981,802,824
1478741581,803,825
1478745181,801,823
1478748781,799,821
1478752381,801,823
1478755981,800,822
1478759581,800,822
1478763181,798,820
1478766781,799,821
1478777581,798,820
1478781181,799,821
1478791981,796,818
1478795581,795,817
1478799181,798,820
1478806381,803,825
1478809981,804,826
1478813581,802,824
1478820782,804,826
1478835181,803,825
1478842381,801,823
1478856781,800,822
1478860381,799,821
1478863982,798,820
1478867581,799,821
1478874781,802,824
1478878381,802,824
1478889181,803,826
1478896381,804,827
1478899981,805,828
1478903581,804,827
1478907181,802,825
1478917982,800,823
1478921582,799,822
1478928781,798,821
1478932381,797,820
1478935981,798,821
1478943182,799,822
1478946782,801,824
1478950381,799,822
1478957581,798,821
1478961182,799,822
1478964781,799,822
1478971981,800,823
1478975581,806,829
1478979181,804,827
1478986381,800,823
1478993581,802,825
1478997181,801,825
1479004381,800,824
1479011582,800,825
1479018781,802,827
1479022381,800,825
1479029581,799,824
1479033182,800,825
1479036781,801,826
1479043981,803,828
1479047581,804,829
1479051181,803,828
1479054781,803,828
1479058381,805,830
1479061981,802,827
1479065582,805,830
1479069181,804,829
1479072781,802,827
1479076381,804,829
1479083581,802,827
1479090782,801,826
1479097982,795,820
1479105181,794,819
1479112381,793,819
1479119581,792,818
1479123181,791,817
1479126781,791,817
1479130381,790,816
1479144781,788,814
1479151981,789,815
1479155581,788,814
1479159181,787,813
1479162781,786,812
1479166381,787,813
1479173581,786,812
1479180781,787,814
1479187981,787,814
1479191581,787,813
1479195181,788,814
1479202381,789,815
1479205981,788,814
1479209581,788,815
1479216781,786,813
1479223981,787,814
1479231181,787,814
1479234781,788,815
1479245581,786,813
1479256382,784,811
1479259981,784,811
1479267181,782,809
1479274381,783,810
1479288781,780,807
1479295981,777,804
1479299582,773,800
1479303181,774,801
1479310381,773,800
1479313981,772,799
1479321181,768,795
1479324781,769,796
1479328381,765,792
1479331981,766,792
1479339181,761,787
1479353581,761,788
1479357181,759,786
1479367981,759,786
1479396781,757,784
1479400381,756,783
1479403981,757,784
1479411181,759,786
1479418381,758,785
1479425581,755,781
1479429181,756,782
1479432781,755,781
1479439981,752,778
1479447181,751,777
1479450781,752,778
1479454381,751,777
1479457982,751,776
1479468781,748,773
1479472381,749,774
1479475981,748,773
1479479581,749,774
1479486782,746,771
1479493981,748,773
1479504782,747,772
1479511981,746,771
1479533581,745,770
1479547981,744,769
1479565981,745,770
1479573181,748,773
1479576781,746,771
1479580381,747,772
1479583981,751,775
1479591181,754,778
1479594781,755,779
1479598381,753,777
1479601981,754,778
1479609181,752,775
1479616381,754,777
